frame_dir,total_frames,img_shape,original_shape,label,keypoint_shape,has_keypoint_score
v_ApplyEyeMakeup_g08_c01,119,"(256, 340)","(256, 340)",0,"(1, 119, 17, 2)",True
v_ApplyEyeMakeup_g08_c02,116,"(256, 340)","(256, 340)",0,"(1, 116, 17, 2)",True
v_ApplyEyeMakeup_g08_c03,145,"(256, 340)","(256, 340)",0,"(1, 145, 17, 2)",True
v_ApplyEyeMakeup_g08_c04,223,"(256, 340)","(256, 340)",0,"(2, 223, 17, 2)",True
v_ApplyEyeMakeup_g08_c05,275,"(256, 340)","(256, 340)",0,"(1, 275, 17, 2)",True
v_ApplyEyeMakeup_g09_c01,175,"(256, 340)","(256, 340)",0,"(1, 175, 17, 2)",True
v_ApplyEyeMakeup_g09_c02,257,"(256, 340)","(256, 340)",0,"(1, 257, 17, 2)",True
v_ApplyEyeMakeup_g09_c03,209,"(256, 340)","(256, 340)",0,"(1, 209, 17, 2)",True
v_ApplyEyeMakeup_g09_c04,190,"(256, 340)","(256, 340)",0,"(1, 190, 17, 2)",True
v_ApplyEyeMakeup_g09_c05,193,"(256, 340)","(256, 340)",0,"(2, 193, 17, 2)",True
v_ApplyEyeMakeup_g09_c06,187,"(256, 340)","(256, 340)",0,"(1, 187, 17, 2)",True
v_ApplyEyeMakeup_g09_c07,260,"(256, 340)","(256, 340)",0,"(2, 260, 17, 2)",True
v_ApplyEyeMakeup_g10_c01,152,"(256, 340)","(256, 340)",0,"(1, 152, 17, 2)",True
v_ApplyEyeMakeup_g10_c02,97,"(256, 340)","(256, 340)",0,"(2, 97, 17, 2)",True
v_ApplyEyeMakeup_g10_c03,105,"(256, 340)","(256, 340)",0,"(1, 105, 17, 2)",True
v_ApplyEyeMakeup_g10_c04,123,"(256, 340)","(256, 340)",0,"(1, 123, 17, 2)",True
v_ApplyEyeMakeup_g10_c05,119,"(256, 340)","(256, 340)",0,"(1, 119, 17, 2)",True
v_ApplyEyeMakeup_g11_c01,139,"(256, 340)","(256, 340)",0,"(2, 139, 17, 2)",True
v_ApplyEyeMakeup_g11_c02,177,"(256, 340)","(256, 340)",0,"(2, 177, 17, 2)",True
v_ApplyEyeMakeup_g11_c03,124,"(256, 340)","(256, 340)",0,"(2, 124, 17, 2)",True
v_ApplyEyeMakeup_g11_c04,137,"(256, 340)","(256, 340)",0,"(2, 137, 17, 2)",True
v_ApplyEyeMakeup_g11_c05,179,"(256, 340)","(256, 340)",0,"(1, 179, 17, 2)",True
v_ApplyEyeMakeup_g12_c01,225,"(256, 340)","(256, 340)",0,"(2, 225, 17, 2)",True
v_ApplyEyeMakeup_g12_c02,119,"(256, 340)","(256, 340)",0,"(2, 119, 17, 2)",True
v_ApplyEyeMakeup_g12_c03,140,"(256, 340)","(256, 340)",0,"(2, 140, 17, 2)",True
v_ApplyEyeMakeup_g12_c04,207,"(256, 340)","(256, 340)",0,"(1, 207, 17, 2)",True
v_ApplyEyeMakeup_g12_c05,126,"(256, 340)","(256, 340)",0,"(1, 126, 17, 2)",True
v_ApplyEyeMakeup_g12_c06,211,"(256, 340)","(256, 340)",0,"(1, 211, 17, 2)",True
v_ApplyEyeMakeup_g13_c01,174,"(256, 340)","(256, 340)",0,"(1, 174, 17, 2)",True
v_ApplyEyeMakeup_g13_c02,98,"(256, 340)","(256, 340)",0,"(1, 98, 17, 2)",True
v_ApplyEyeMakeup_g13_c03,167,"(256, 340)","(256, 340)",0,"(1, 167, 17, 2)",True
v_ApplyEyeMakeup_g13_c04,119,"(256, 340)","(256, 340)",0,"(1, 119, 17, 2)",True
v_ApplyEyeMakeup_g13_c05,118,"(256, 340)","(256, 340)",0,"(1, 118, 17, 2)",True
v_ApplyEyeMakeup_g13_c06,136,"(256, 340)","(256, 340)",0,"(1, 136, 17, 2)",True
v_ApplyEyeMakeup_g14_c01,184,"(256, 340)","(256, 340)",0,"(3, 184, 17, 2)",True
v_ApplyEyeMakeup_g14_c02,185,"(256, 340)","(256, 340)",0,"(2, 185, 17, 2)",True
v_ApplyEyeMakeup_g14_c03,236,"(256, 340)","(256, 340)",0,"(3, 236, 17, 2)",True
v_ApplyEyeMakeup_g14_c04,131,"(256, 340)","(256, 340)",0,"(3, 131, 17, 2)",True
v_ApplyEyeMakeup_g14_c05,159,"(256, 340)","(256, 340)",0,"(3, 159, 17, 2)",True
v_ApplyEyeMakeup_g15_c01,168,"(256, 340)","(256, 340)",0,"(2, 168, 17, 2)",True
v_ApplyEyeMakeup_g15_c02,192,"(256, 340)","(256, 340)",0,"(2, 192, 17, 2)",True
v_ApplyEyeMakeup_g15_c03,231,"(256, 340)","(256, 340)",0,"(3, 231, 17, 2)",True
v_ApplyEyeMakeup_g15_c04,186,"(256, 340)","(256, 340)",0,"(2, 186, 17, 2)",True
v_ApplyEyeMakeup_g15_c05,258,"(256, 340)","(256, 340)",0,"(2, 258, 17, 2)",True
v_ApplyEyeMakeup_g15_c06,196,"(256, 340)","(256, 340)",0,"(2, 196, 17, 2)",True
v_ApplyEyeMakeup_g15_c07,181,"(256, 340)","(256, 340)",0,"(2, 181, 17, 2)",True
v_ApplyEyeMakeup_g16_c01,124,"(256, 340)","(256, 340)",0,"(2, 124, 17, 2)",True
v_ApplyEyeMakeup_g16_c02,232,"(256, 340)","(256, 340)",0,"(3, 232, 17, 2)",True
v_ApplyEyeMakeup_g16_c03,113,"(256, 340)","(256, 340)",0,"(3, 113, 17, 2)",True
v_ApplyEyeMakeup_g16_c04,97,"(256, 340)","(256, 340)",0,"(3, 97, 17, 2)",True
v_ApplyEyeMakeup_g16_c05,200,"(256, 340)","(256, 340)",0,"(3, 200, 17, 2)",True
v_ApplyEyeMakeup_g17_c01,115,"(256, 340)","(256, 340)",0,"(1, 115, 17, 2)",True
v_ApplyEyeMakeup_g17_c02,172,"(256, 340)","(256, 340)",0,"(1, 172, 17, 2)",True
v_ApplyEyeMakeup_g17_c03,93,"(256, 340)","(256, 340)",0,"(2, 93, 17, 2)",True
v_ApplyEyeMakeup_g17_c04,104,"(256, 340)","(256, 340)",0,"(2, 104, 17, 2)",True
v_ApplyEyeMakeup_g17_c05,181,"(256, 340)","(256, 340)",0,"(1, 181, 17, 2)",True
v_ApplyEyeMakeup_g18_c01,158,"(256, 340)","(256, 340)",0,"(2, 158, 17, 2)",True
v_ApplyEyeMakeup_g18_c02,169,"(256, 340)","(256, 340)",0,"(2, 169, 17, 2)",True
v_ApplyEyeMakeup_g18_c03,156,"(256, 340)","(256, 340)",0,"(2, 156, 17, 2)",True
v_ApplyEyeMakeup_g18_c04,223,"(256, 340)","(256, 340)",0,"(2, 223, 17, 2)",True
v_ApplyEyeMakeup_g18_c05,186,"(256, 340)","(256, 340)",0,"(4, 186, 17, 2)",True
