frame_dir,total_frames,img_shape,original_shape,label,keypoint_shape,has_keypoint_score
v_Basketball_g08_c01,170,"(256, 340)","(256, 340)",6,"(3, 170, 17, 2)",True
v_Basketball_g08_c02,83,"(256, 340)","(256, 340)",6,"(8, 83, 17, 2)",True
v_Basketball_g08_c03,60,"(256, 340)","(256, 340)",6,"(2, 60, 17, 2)",True
v_Basketball_g08_c04,100,"(256, 340)","(256, 340)",6,"(4, 100, 17, 2)",True
v_Basketball_g09_c01,110,"(256, 340)","(256, 340)",6,"(2, 110, 17, 2)",True
v_Basketball_g09_c02,103,"(256, 340)","(256, 340)",6,"(1, 103, 17, 2)",True
v_Basketball_g09_c03,84,"(256, 340)","(256, 340)",6,"(2, 84, 17, 2)",True
v_Basketball_g09_c04,100,"(256, 340)","(256, 340)",6,"(2, 100, 17, 2)",True
v_Basketball_g09_c05,121,"(256, 340)","(256, 340)",6,"(2, 121, 17, 2)",True
v_Basketball_g10_c01,127,"(256, 340)","(256, 340)",6,"(3, 127, 17, 2)",True
v_Basketball_g10_c02,123,"(256, 340)","(256, 340)",6,"(3, 123, 17, 2)",True
v_Basketball_g10_c03,115,"(256, 340)","(256, 340)",6,"(2, 115, 17, 2)",True
v_Basketball_g10_c04,102,"(256, 340)","(256, 340)",6,"(3, 102, 17, 2)",True
v_Basketball_g10_c05,116,"(256, 340)","(256, 340)",6,"(3, 116, 17, 2)",True
v_Basketball_g11_c01,25,"(256, 340)","(256, 340)",6,"(2, 25, 17, 2)",True
v_Basketball_g11_c02,137,"(256, 340)","(256, 340)",6,"(2, 137, 17, 2)",True
v_Basketball_g11_c03,74,"(256, 340)","(256, 340)",6,"(2, 74, 17, 2)",True
v_Basketball_g11_c04,76,"(256, 340)","(256, 340)",6,"(1, 76, 17, 2)",True
v_Basketball_g11_c05,81,"(256, 340)","(256, 340)",6,"(1, 81, 17, 2)",True
v_Basketball_g12_c01,272,"(256, 340)","(256, 340)",6,"(6, 272, 17, 2)",True
v_Basketball_g12_c02,183,"(256, 340)","(256, 340)",6,"(5, 183, 17, 2)",True
v_Basketball_g12_c03,136,"(256, 340)","(256, 340)",6,"(7, 136, 17, 2)",True
v_Basketball_g12_c04,227,"(256, 340)","(256, 340)",6,"(8, 227, 17, 2)",True
v_Basketball_g12_c05,229,"(256, 340)","(256, 340)",6,"(9, 229, 17, 2)",True
v_Basketball_g13_c01,298,"(256, 340)","(256, 340)",6,"(2, 298, 17, 2)",True
v_Basketball_g13_c02,323,"(256, 340)","(256, 340)",6,"(2, 323, 17, 2)",True
v_Basketball_g13_c03,310,"(256, 340)","(256, 340)",6,"(2, 310, 17, 2)",True
v_Basketball_g13_c04,292,"(256, 340)","(256, 340)",6,"(2, 292, 17, 2)",True
v_Basketball_g14_c01,80,"(256, 340)","(256, 340)",6,"(1, 80, 17, 2)",True
v_Basketball_g14_c02,130,"(256, 340)","(256, 340)",6,"(2, 130, 17, 2)",True
v_Basketball_g14_c03,88,"(256, 340)","(256, 340)",6,"(2, 88, 17, 2)",True
v_Basketball_g14_c04,87,"(256, 340)","(256, 340)",6,"(1, 87, 17, 2)",True
v_Basketball_g14_c05,90,"(256, 340)","(256, 340)",6,"(1, 90, 17, 2)",True
v_Basketball_g15_c01,119,"(256, 340)","(256, 340)",6,"(2, 119, 17, 2)",True
v_Basketball_g15_c02,151,"(256, 340)","(256, 340)",6,"(2, 151, 17, 2)",True
v_Basketball_g15_c03,194,"(256, 340)","(256, 340)",6,"(3, 194, 17, 2)",True
v_Basketball_g15_c04,111,"(256, 340)","(256, 340)",6,"(2, 111, 17, 2)",True
v_Basketball_g15_c05,173,"(256, 340)","(256, 340)",6,"(3, 173, 17, 2)",True
v_Basketball_g15_c06,184,"(256, 340)","(256, 340)",6,"(3, 184, 17, 2)",True
v_Basketball_g15_c07,163,"(256, 340)","(256, 340)",6,"(2, 163, 17, 2)",True
v_Basketball_g16_c01,481,"(256, 340)","(256, 340)",6,"(2, 481, 17, 2)",True
v_Basketball_g16_c02,491,"(256, 340)","(256, 340)",6,"(2, 491, 17, 2)",True
v_Basketball_g16_c03,124,"(256, 340)","(256, 340)",6,"(2, 124, 17, 2)",True
v_Basketball_g16_c04,87,"(256, 340)","(256, 340)",6,"(2, 87, 17, 2)",True
v_Basketball_g16_c05,445,"(256, 340)","(256, 340)",6,"(2, 445, 17, 2)",True
v_Basketball_g16_c06,314,"(256, 340)","(256, 340)",6,"(3, 314, 17, 2)",True
v_Basketball_g17_c01,111,"(256, 340)","(256, 340)",6,"(4, 111, 17, 2)",True
v_Basketball_g17_c02,113,"(256, 340)","(256, 340)",6,"(2, 113, 17, 2)",True
v_Basketball_g17_c03,213,"(256, 340)","(256, 340)",6,"(4, 213, 17, 2)",True
v_Basketball_g17_c04,83,"(256, 340)","(256, 340)",6,"(3, 83, 17, 2)",True
v_Basketball_g18_c01,235,"(256, 340)","(256, 340)",6,"(3, 235, 17, 2)",True
v_Basketball_g18_c02,101,"(256, 340)","(256, 340)",6,"(4, 101, 17, 2)",True
v_Basketball_g18_c03,173,"(256, 340)","(256, 340)",6,"(8, 173, 17, 2)",True
v_Basketball_g18_c04,186,"(256, 340)","(256, 340)",6,"(4, 186, 17, 2)",True
v_Basketball_g18_c05,142,"(256, 340)","(256, 340)",6,"(4, 142, 17, 2)",True
